,Location,Book_Title,Book_Author,Publisher,Book_Rating,user_id,ISBN,Cluster
53,624,394,1789,428,8,735,449131548,3
54,1865,2788,395,158,8,744,42512892,0
55,2730,494,2715,132,8,774,55321313,0
56,133,1840,2411,979,7,776,60529709,0
57,1956,6490,2730,128,6,786,553584510,3
58,2390,7201,4286,549,10,805,60256672,0
59,2390,7225,1151,961,10,805,140077022,0
60,2390,2236,4701,1012,8,805,452282152,3
61,2164,5094,2680,589,5,834,1558747346,1
62,686,1424,1864,549,8,843,6019491,0
63,352,7266,3389,768,6,850,2147483647,4
64,246,3401,2508,562,5,882,64402967,0
65,246,2073,2458,1014,4,882,67101420,0
66,246,318,1285,1307,9,882,340188022,3
67,246,7438,4902,1465,7,882,446895725,3
68,246,6173,699,682,6,882,515134368,3
69,246,2727,4594,128,10,882,553290207,3
70,2307,6798,2858,158,6,900,425137015,3
71,2307,3698,3051,428,5,900,449212084,3
72,2831,3485,333,1307,9,901,99771519,0
73,2831,7438,4902,1465,10,901,842329072,2
74,1463,2374,729,383,9,903,876855575,2
75,1518,524,4862,965,8,913,140272658,0
76,1269,3753,3966,19,4,929,44100962,0
77,1269,7092,1690,158,8,929,425050750,3
78,1269,5406,123,1015,8,929,671617028,2
79,1269,3204,2928,841,8,929,766607119,2
80,2378,7438,4902,1465,5,936,679781587,2
81,1509,7438,4902,1465,9,1025,99755114,0
82,1509,7438,4902,1465,10,1025,552107735,3
83,1509,780,2261,167,9,1025,552998001,3
84,413,6118,98,62,8,1054,1400034779,1
85,2263,7266,3389,768,5,1056,2147483647,4
86,1844,2121,2324,1180,10,1057,451163753,3
87,1160,5986,121,747,7,1075,316666343,3
88,705,7266,3389,768,5,1106,2147483647,4
89,433,4330,3824,128,5,1116,553575619,3
90,317,2929,2552,523,7,1129,151010102,0
91,245,2128,1437,804,7,1131,70212570,0
92,245,1901,2160,1213,6,1131,312983824,3
93,245,2603,4815,125,7,1131,345370805,3
94,358,2978,370,1399,10,1140,671880187,2
95,1634,511,4165,337,5,1167,38533656,0
96,263,7266,3389,768,10,1172,2147483647,4
97,1285,1995,379,875,7,1192,451404033,3
98,2119,7438,4902,1465,9,1211,1857988132,4
99,2119,3015,84,352,7,1211,2070360423,4
100,2119,7266,3389,768,6,1211,2147483647,4
101,786,743,53,125,6,1261,345438329,3
102,275,7438,4902,1465,7,1343,753505657,2
103,275,7438,4902,1465,7,1343,753505703,2
104,2177,3786,932,151,9,1355,1931646384,4
105,1143,3255,4834,984,7,1359,399501487,3
106,2805,4176,1180,125,9,1412,345416260,3
107,2440,7438,4902,1465,5,1435,345387651,3
108,2440,2444,4387,1014,4,1435,671024248,2
109,44,1966,1872,107,8,1485,380706725,3
110,44,5699,603,201,6,1485,767904281,2
111,380,6421,263,328,7,1548,345434692,3
112,35,3520,1199,1392,4,1585,446355224,3
113,585,5343,2842,682,8,1608,515111279,3
114,530,360,3031,863,7,1617,385475713,3
115,2804,2820,953,128,7,1641,553375407,3
116,1637,6441,2987,428,5,1674,449912558,3
117,1637,2923,4043,1368,8,1674,679775471,2
118,1637,7438,4902,1465,10,1674,812505166,2
119,515,5332,1108,16,9,1688,552138223,3
120,660,844,3953,1149,5,1723,590449737,3
121,1169,4311,2357,529,8,1733,373121601,3
122,1169,7238,3461,529,9,1733,373168438,3
123,1169,5129,2677,1182,7,1733,373271867,3
124,1169,1405,3679,1440,10,1733,373700474,3
125,1169,7373,667,529,5,1733,373708300,3
126,1169,4226,1178,336,8,1733,440225868,3
127,1169,974,4303,1392,2,1733,446346438,3
128,1169,7438,4902,1465,7,1733,553107232,3
129,1169,7269,3898,1295,1,1733,971880107,2
130,1169,4537,2855,835,9,1733,1551666200,1
131,1841,5861,172,1032,9,1773,804106304,2
132,1264,4748,4674,128,6,1830,553377884,3
133,230,1242,4341,642,10,1848,385029551,3
134,230,6046,1248,1367,10,1848,394712447,3
135,230,2962,4857,1399,10,1848,671722727,2
136,230,5820,4003,1221,10,1848,765348438,2
137,230,5653,3374,632,10,1848,786868716,2
138,230,3962,2658,1319,10,1848,804832463,2
139,2509,7438,4902,1465,5,1850,733311733,2
140,2755,1170,4661,158,8,1869,425122123,3
141,1148,7438,4902,1465,5,1903,0,0
142,1148,1576,1222,633,6,1903,78686351,0
143,1148,5121,2305,1031,9,1903,130957011,0
144,1148,4619,4066,747,10,1903,316441791,3
145,1148,6471,717,125,10,1903,345333152,3
146,1148,5599,1031,148,10,1903,465021433,3
147,1148,5255,4427,967,10,1903,670031518,2
148,1148,1302,1541,689,7,1903,840339402,2
149,1231,5986,121,747,10,1928,316666343,3
150,1809,7438,4902,1465,10,1990,852543010,2
151,1809,7266,3389,768,5,1990,2147483647,4
152,1859,5153,1782,1382,9,2024,393011224,3
153,1859,4018,1155,1050,5,2024,802130259,2
154,1859,429,530,187,9,2024,846705672,2
155,2309,1111,991,1050,10,2030,912365579,2
156,1888,1908,4286,549,10,2033,60248025,0
157,1888,170,4286,549,10,2033,60256737,0
158,1888,6649,227,401,8,2033,61056286,0
159,1888,5199,3137,747,10,2033,316779059,3
160,1888,3775,3682,94,10,2033,671027441,2
161,1888,5316,3538,1297,8,2033,812532619,2
162,1888,7379,3538,1297,9,2033,812533577,2
163,1888,4564,499,67,10,2033,836218787,2
164,1888,7438,4902,1465,7,2033,1559274581,1
165,1448,7438,4902,1465,7,2084,840309375,2
166,1448,22,1499,60,7,2084,843396951,2
167,1448,7266,3389,768,6,2084,2147483647,4
168,2493,7438,4902,1465,8,2179,312263120,3
169,1674,7266,3389,768,4,2189,2147483647,4
170,1728,232,890,1149,9,2197,590471570,3
171,1358,3485,333,1307,9,2199,99771519,0
172,2236,2842,3501,125,10,2238,34536662,0
173,510,5534,686,747,8,2255,316168688,3
174,1808,6934,3464,561,8,2276,61098353,0
175,1808,7308,1160,328,8,2276,345397371,3
176,1808,5173,4593,125,9,2276,345447867,3
177,1808,7438,4902,1465,8,2276,380503026,3
178,1808,375,639,108,8,2276,380770210,3
179,1808,791,1415,158,6,2276,425054578,3
180,1808,2036,3734,970,8,2276,425062856,3
181,1808,3192,1330,130,9,2276,440948754,3
182,1808,769,2011,1398,9,2276,446609323,3
183,1808,5039,1456,804,7,2276,446794031,3
184,1808,4373,218,125,9,2276,449903001,3
185,1808,4972,3955,134,10,2276,553240307,3
186,1808,640,3391,1297,5,2276,812585151,2
187,1808,6712,4122,1005,5,2276,872168026,2
188,1808,7293,3262,324,10,2276,886775167,2
189,1808,7294,3262,324,10,2276,886776120,2
190,1808,7438,4902,1465,7,2276,965704637,2
191,2414,5856,3875,1392,6,2288,446363510,3
192,545,2033,2974,125,5,2313,34545104,0
193,545,3861,2359,1344,8,2313,295955252,3
194,545,444,3115,1208,5,2313,312186754,3
195,545,186,2719,1367,7,2313,679733760,2
196,545,4563,3163,1447,7,2313,879520388,2
197,2062,7266,3389,768,8,2326,2147483647,4
198,1031,5669,352,877,8,2337,451191153,3
199,1031,5727,3677,1014,8,2337,671510126,2
200,391,5438,1324,1297,7,2358,812509145,2
201,391,1528,73,1297,6,2358,812524608,2
202,1692,4475,3248,1118,9,2363,451457374,3
203,1692,5311,4386,1118,9,2363,451458397,3
204,1692,6879,751,119,5,2363,671578375,2
205,1253,6568,979,1184,9,2399,671730177,2
206,1721,7266,3389,768,5,2406,2147483647,4
207,1320,7269,3898,1295,3,2411,971880107,2
208,2231,7029,2458,1014,9,2437,671739751,2
209,2562,7438,4902,1465,10,2442,8804315,0
210,2562,7438,4902,1465,6,2442,880501821,2
211,240,7438,4902,1465,6,2546,6144500,0
212,1796,7266,3389,768,8,2549,2147483647,4
213,18,7438,4902,1465,7,2617,7173946,0
214,1272,6472,3639,1108,8,2630,800758358,2
215,845,7438,4902,1465,9,2632,385493800,3
216,845,4665,2859,74,5,2632,877958920,2
217,1463,5141,2624,463,9,2653,399148019,3
218,269,7438,4902,1465,8,2693,349942472,3
219,269,7266,3389,768,8,2693,2147483647,4
220,2455,4286,1764,961,7,2719,140089365,0
221,917,211,3054,563,8,2766,60235330,0
222,917,2847,1992,1214,9,2766,312146310,3
223,917,1994,2999,333,8,2766,440204194,3
224,917,5710,2732,715,8,2766,440219078,3
225,917,4662,3373,1010,9,2766,874869870,2
226,917,1306,3080,1410,7,2766,1890437557,4
227,1208,6365,2737,128,8,2793,553584014,3
228,1208,4590,4722,1014,6,2793,671695126,2
229,1208,7438,4902,1465,8,2793,1559278374,1
230,2242,4807,760,1300,7,2914,812551583,2
231,2775,1344,1170,336,7,2954,440236304,3
232,2775,2701,1596,125,6,2954,804100039,2
233,2131,2994,4313,1369,8,2977,394752996,3
234,2131,719,464,820,3,2977,696013908,2
235,2131,2377,3589,737,9,2977,892434090,2
236,2131,3120,1471,1144,10,2977,906138213,2
237,2131,7266,3389,768,8,2977,2147483647,4
238,1611,7266,3389,768,7,2996,2147483647,4
239,2711,226,2355,425,6,3104,374526893,3
240,1362,1181,65,1392,9,3142,446674346,3
241,141,2825,3606,158,7,3145,425182908,3
242,141,6861,634,1392,8,3145,446343455,3
243,1634,7438,4902,1465,6,3167,67150987,0
244,1634,3250,4392,125,5,3167,345257162,3
245,1634,6489,2502,328,10,3167,345355237,3
246,1634,1377,263,1062,8,3167,399136487,3
247,1634,2463,4750,129,10,3167,553574353,3
248,1447,7254,4239,749,10,3194,875421180,2
249,710,7438,4902,1465,9,3282,451160533,3
250,710,6044,2494,1018,8,3282,671016873,2
251,2002,2828,3094,1176,9,3289,816303630,2
252,1078,1624,1436,112,7,3332,56353723,0
253,2588,196,1177,961,7,3344,142003190,0
254,2588,476,937,1018,8,3344,671027360,2
255,2528,3930,3602,19,8,3346,44100895,0
256,2528,5986,121,747,9,3346,316666343,3
257,2528,4810,499,67,10,3346,836218256,2
258,2528,7266,3389,768,10,3346,2147483647,4
259,593,3320,121,116,8,3350,316096199,3
260,593,1546,2770,337,8,3350,385335830,3
261,1288,7110,4276,1214,8,3363,31226481,0
262,1288,2895,3648,562,10,3363,64460932,0
263,1288,610,497,1211,10,3363,312171838,3
264,1288,5514,4195,1211,10,3363,312187106,3
265,1288,7142,3507,747,8,3363,316070211,3
266,1288,168,1286,740,10,3363,316329940,3
267,1288,1918,2810,125,10,3363,345336429,3
268,1288,6052,2104,125,10,3363,345427297,3
269,1288,6032,2792,1098,8,3363,373250533,3
270,1288,7207,3648,719,9,3363,440228352,3
271,1288,2149,3177,1453,9,3363,440416248,3
272,1288,7186,3509,1154,9,3363,590319906,3
273,1288,998,886,1117,8,3363,761316426,2
274,1288,4343,1185,1040,9,3363,761511032,2
275,1033,7438,4902,1465,5,3371,373484410,3
276,1033,6598,1372,988,10,3371,399226907,3
277,1033,906,4575,129,6,3371,553563343,3
278,794,1446,4442,561,7,3373,6109157,0
279,794,1716,2371,1064,7,3373,39914613,0
280,794,7438,4902,1465,5,3373,345386132,3
281,794,4055,1890,107,7,3373,380804697,3
282,794,2598,4167,128,5,3373,553265415,3
283,794,760,1999,1014,7,3373,743411439,2
284,2564,7438,4902,1465,8,3379,394280210,3
285,10,1495,1134,682,8,3416,515116173,3
286,10,7223,377,450,9,3416,765342561,2
287,2236,7274,4542,1076,7,3418,67988288,0
288,939,7438,4902,1465,7,3422,582528909,3
289,790,4848,3608,1062,8,3427,39914465,0
290,1133,4177,3321,549,8,3437,60198524,0
291,1435,6227,3592,129,8,3481,553268880,3
292,1441,6291,1210,125,9,3488,345391810,3
293,775,5119,4612,961,7,3508,140431357,0
294,1504,1746,1368,1003,6,3538,848460246,2
295,1504,7266,3389,768,9,3538,2147483647,4
296,278,2821,4153,1077,10,3556,440439884,3
297,1052,7438,4902,1465,7,3578,0,0
298,1052,3240,3353,1180,2,3578,451121902,3
299,1052,7438,4902,1465,9,3578,676972152,2
300,25,2433,4206,573,6,3586,156004992,0
301,372,6402,2983,125,8,3605,345441702,3
302,2785,734,258,600,8,3669,836135474,2
303,177,3477,4630,555,7,3675,60526491,0
304,1065,2269,3463,19,8,3693,441003257,3
305,1065,1041,3273,1218,9,3693,743445643,2
306,2093,3507,3486,1392,8,3694,446523569,3
307,779,1463,800,1441,7,3719,373262329,3
308,779,3385,2644,970,8,3719,451124383,3
309,779,4981,1195,682,7,3719,515127221,3
310,1987,482,3157,125,7,3728,449908119,3
311,1341,7438,4902,1465,7,3752,379511151,3
312,62,7438,4902,1465,8,3791,18,0
313,1843,3800,1729,592,9,3799,435120964,3
314,598,7438,4902,1465,7,3817,553149660,3
315,598,3312,3175,1014,8,3817,671758896,2
316,1902,7438,4902,1465,7,3827,6755291,0
317,1902,5103,3836,932,6,3827,87951602,0
318,1902,7438,4902,1465,10,3827,141301058,0
319,1902,5478,3263,782,8,3827,152017682,0
320,1902,4462,4687,1214,8,3827,312274920,3
321,1902,1114,2803,62,7,3827,385471475,3
322,1902,7021,32,704,7,3827,394534433,3
323,1902,2892,4279,19,8,3827,441005195,3
324,2056,3425,3162,1273,9,3838,534525075,3
325,501,471,1482,1161,9,3869,684872153,2
326,2564,450,435,979,7,3917,380732181,3
327,2564,5419,1952,128,8,3917,553371010,3
328,2564,2617,141,254,8,3917,872860175,2
329,706,5174,1934,1181,7,3954,451527496,3
330,2445,4747,2595,336,8,3959,440211158,3
331,1106,7266,3389,768,9,3960,2147483647,4
332,599,5647,2445,1018,6,3977,743407067,2
333,2048,5763,3648,562,7,4016,64403645,0
334,1768,907,1281,1369,10,4017,37570504,0
335,1768,4042,287,1161,10,4017,68480087,0
336,1768,472,1482,1161,10,4017,68484267,0
337,1768,3299,4788,997,10,4017,312243111,3
338,1768,3320,121,116,10,4017,316096199,3
339,1768,4431,534,741,5,4017,316899984,3
340,1768,7438,4902,1465,10,4017,345386574,3
341,1768,975,2810,125,9,4017,345410424,3
342,1768,7438,4902,1465,9,4017,399145079,3
343,1768,6817,1729,741,10,4017,446310786,3
344,1768,4824,4684,1012,9,4017,452260116,3
345,1768,3625,313,1012,10,4017,452280699,3
346,1768,2873,543,1399,10,4017,671038184,2
347,1768,1977,307,1424,10,4017,688176992,2
348,1768,131,2447,840,5,4017,812968344,2
349,1768,5407,2005,1114,9,4017,1573225789,1
350,1768,4535,1889,177,5,4017,1582340765,1
351,819,116,956,1064,5,4091,399151435,3
352,819,1494,937,1014,8,4091,671027387,2
353,1571,476,937,1018,7,4098,671027360,2
354,1095,7438,4902,1465,9,4131,590542443,3
355,1095,3244,1827,1218,8,4131,743421922,2
356,1095,5434,2300,993,8,4131,753813823,2
357,141,303,3488,1114,8,4138,1573227331,1
358,2683,6642,2265,529,5,4148,373292945,3
359,271,407,97,477,10,4157,906293456,2
360,1219,5576,1333,1014,9,4191,671868640,2
361,73,2298,2066,656,9,4197,71349294,0
362,73,1986,845,1064,7,4197,399148728,3
363,73,3448,2403,1361,9,4197,670861944,2
364,73,1028,1374,1366,8,4197,679463070,2
365,73,1484,2625,1161,9,4197,684841185,2
366,1879,780,2261,167,7,4223,552998001,3
367,1879,7266,3389,768,6,4223,2147483647,4
368,2172,1998,4387,874,7,4334,451099648,3
369,2172,1136,4387,874,8,4334,451139739,3
370,2172,4813,3856,134,6,4334,553236202,3
371,2172,7266,3389,768,6,4334,2147483647,4
372,2172,7266,3389,768,9,4334,2147483647,4
373,949,4037,359,1448,10,4369,738846503,2
374,33,3649,2570,1182,10,4385,37319692,0
375,33,5110,678,529,8,4385,37329056,0
376,33,1946,272,561,9,4385,61093343,0
377,33,2330,2705,1182,10,4385,373076932,3
378,33,4906,2459,1182,10,4385,373096585,3
379,33,3471,4059,529,8,4385,373118716,3
380,33,4993,4227,529,8,4385,373162227,3
381,33,1285,3572,529,10,4385,373168748,3
382,33,56,1358,529,10,4385,373169264,3
383,33,5020,3341,529,10,4385,373169639,3
384,33,2152,378,529,10,4385,373253184,3
385,33,4335,2791,529,10,4385,373288050,3
386,33,7438,4902,1465,8,4385,449236250,3
387,33,215,3164,1180,10,4385,451180143,3
388,33,4891,4333,1206,10,4385,553279335,3
389,33,6672,2542,128,10,4385,553289993,3
390,33,2423,1288,727,10,4385,843946466,2
391,470,7266,3389,768,6,4428,2147483647,4
392,2170,7266,3389,768,8,4435,2147483647,4
393,532,6618,4688,561,8,4438,61098795,0
394,2703,95,3748,995,6,4444,312420021,3
395,2656,1004,2416,563,9,4514,380897180,3
396,2656,7438,4902,1465,8,4514,972711251,2
397,1014,636,903,62,8,4516,385722206,3
398,1504,7266,3389,768,10,4590,2147483647,4
399,1434,1592,4220,10,8,4600,1885840047,4
400,1164,7438,4902,1465,8,4682,67697309,0
401,2619,7438,4902,1465,7,4708,32719872,0
402,1961,7266,3389,768,8,4720,2147483647,4
403,2170,7266,3389,768,3,4737,2147483647,4
404,2170,7266,3389,768,7,4737,2147483647,4
405,1851,7343,2830,202,9,4769,767904893,2
406,1426,5065,4395,107,9,4785,38070613,0
407,1426,3057,3031,428,7,4785,449213765,3
408,2155,6208,390,979,10,4795,60930535,0
409,2155,3577,889,1453,10,4795,440408652,3
410,2155,2236,4701,1012,9,4795,452282152,3
411,2033,7266,3389,768,4,4896,2147483647,4
412,506,7438,4902,1465,8,4938,440220602,3
413,1504,7266,3389,768,7,4945,2147483647,4
414,1351,2968,2442,129,7,4994,553583905,3
415,2508,5686,2681,882,10,5017,1572241314,1
416,2392,4210,1313,1457,5,5027,821764462,2
417,714,250,1918,333,10,5037,440211727,3
418,714,7438,4902,1465,8,5037,440213525,3
419,714,6939,4722,1014,3,5037,671695142,2
420,1934,7266,3389,768,7,5079,2147483647,4
421,482,7266,3389,768,8,5127,2147483647,4
422,1555,3232,955,754,9,5153,864426224,2
423,1487,7266,3389,768,7,5158,2147483647,4
424,1489,7438,4902,1465,10,5204,2070734552,4
425,1489,7266,3389,768,10,5204,2147483647,4
426,1489,7266,3389,768,6,5204,2147483647,4
427,1174,6331,1727,1014,6,5207,67187294,0
428,1566,3070,2710,328,8,5209,345311639,3
429,1566,5239,1700,327,10,5209,345350804,3
430,1566,2571,549,1206,9,5209,553580272,3
431,1566,2430,1549,223,6,5209,786705302,2
432,1566,6621,4268,1298,7,5209,812550897,2
433,1566,5522,1193,309,7,5209,879977388,2
434,1566,7007,4141,881,8,5209,1561840599,1
435,2330,7266,3389,768,7,5231,2147483647,4
436,118,656,3367,1460,10,5285,310329914,3
437,380,7041,8,979,6,5296,380730138,3
438,1152,7438,4902,1465,10,5331,91867770,0
439,1152,7438,4902,1465,10,5331,99435012,0
440,2182,7438,4902,1465,7,5333,425161986,3
441,2182,7438,4902,1465,9,5333,440213525,3
442,1302,7132,1869,372,5,5350,342310516,3
443,1302,999,2381,452,8,5350,1841150770,4
444,1302,7266,3389,768,4,5350,2147483647,4
445,1769,2550,2347,943,7,5351,330253565,3
446,1381,6370,2120,264,10,5427,6751504,0
447,1143,5370,2254,1180,6,5439,451205561,3
448,2014,7307,4378,555,8,5448,6106498,0
449,2014,3318,477,719,8,5448,440948991,3
450,1712,3747,207,1052,5,5451,1586480103,1
451,2123,5583,4722,1014,5,5452,671039857,2
452,2290,5037,3092,324,8,5469,886779960,2
453,177,4332,1134,945,8,5471,33042095,0
454,204,7438,4902,1465,8,5483,804114986,2
455,1319,2230,1512,295,5,5490,156383121,0
456,1329,3083,1989,549,10,5499,60005556,0
457,1329,3668,1351,1423,7,5499,60083956,0
458,1329,3920,2026,1212,10,5499,312271786,3
459,1329,142,944,1212,10,5499,312306814,3
460,1329,5873,2730,128,10,5499,553802526,3
461,141,5795,1897,327,10,5539,345339681,3
462,1052,3828,3802,1149,5,5576,590466178,3
463,1794,6773,3156,549,7,5581,6514588,0
464,2313,5746,844,979,8,5582,6093316,0
465,2313,1018,2746,979,10,5582,62731009,0
466,2313,4247,405,961,8,5582,140266933,0
467,2313,1953,271,125,8,5582,345334531,3
468,2313,5969,1001,328,8,5582,345385209,3
469,2313,3481,271,125,10,5582,345409671,3
470,2313,7438,4902,1465,10,5582,385484011,3
471,2313,1346,4423,1382,4,5582,393027414,3
472,2313,5413,613,333,7,5582,440225639,3
473,2313,6036,1633,756,6,5582,582292190,3
474,774,1745,77,1392,8,5599,446670111,3
475,1893,7438,4902,1465,7,5609,374172897,3
476,1614,7438,4902,1465,7,5630,330373994,3
477,1961,7266,3389,768,7,5644,2147483647,4
478,204,7438,4902,1465,8,5709,380807343,3
479,204,5515,254,129,5,5709,553577123,3
480,2079,3282,3211,1080,8,5722,394744543,3
481,1915,6993,2947,729,10,5730,1895555590,4
482,2108,6107,2517,1188,8,5741,743439791,2
483,2540,1602,4192,746,10,5777,671493183,2
484,2540,4028,3155,214,8,5777,1564029654,1
485,921,7438,4902,1465,7,5783,425181103,3
486,1052,380,3819,664,8,5784,80410526,0
487,10,7266,3389,768,4,5834,2147483647,4
488,2600,7266,3389,768,8,5899,2147483647,4
489,2653,7438,4902,1465,7,5903,140276513,0
490,2653,7438,4902,1465,5,5903,340689625,3
491,2653,867,2048,201,8,5903,767907817,2
492,1174,6020,61,158,5,5956,425067866,3
493,1174,5862,3626,180,5,5956,883964716,2
494,1174,1056,2281,1333,5,5956,1884800394,4
495,2236,2956,618,1083,2,5963,679463321,2
496,2313,5666,4416,130,5,5998,553138014,3
497,1308,6816,762,664,7,6003,804106274,2
498,501,2687,1686,961,5,6018,142000205,0
499,1143,3416,4082,979,9,6073,60981180,0
500,1143,7438,4902,1465,8,6073,345335058,3
501,1143,5215,1427,1181,8,6073,451526643,3
502,2654,6479,459,1059,7,6184,140314202,0
503,2654,280,2997,715,10,6184,440998050,3
504,2359,209,2340,125,8,6238,345361792,3
505,2359,4083,921,1367,9,6238,679777466,2
506,2359,2401,1730,738,8,6238,879100362,2
507,2676,2047,1655,1031,7,6251,24103411,0
508,2676,7438,4902,1465,8,6251,62501007,0
509,2676,1533,479,1438,9,6251,76110481,0
510,2676,230,4243,1214,8,6251,312952716,3
511,2676,6771,2069,1213,9,6251,312966091,3
512,2676,2903,784,618,10,6251,395304482,3
513,2676,160,3359,504,10,6251,399233881,3
514,2676,7438,4902,1465,10,6251,425103285,3
515,2676,3338,2979,718,9,6251,440952522,3
516,2676,2457,1590,1392,7,6251,446611328,3
517,2676,2843,4631,129,7,6251,553342762,3
518,2676,282,3728,1369,7,6251,679731148,2
519,2676,5555,2255,562,8,6251,688108059,2
520,2676,3541,4641,67,9,6251,740718770,2
521,2676,4688,4413,632,8,6251,786885688,2
522,2676,2554,4708,954,10,6251,809117541,2
523,2676,7419,499,67,10,6251,836218353,2
524,2676,7438,4902,1465,9,6251,864113676,2
525,2676,4433,3957,786,10,6251,880291230,2
526,2676,7231,1397,1259,10,6251,898151899,2
527,2676,207,879,188,8,6251,1566471575,1
528,6,6026,3809,1205,9,6280,553278223,3
529,2792,3092,4184,1214,6,6323,312253974,3
530,2792,113,3286,1398,7,6323,446667900,3
531,2792,1870,4448,128,6,6323,553284789,3
532,2792,4384,1029,129,9,6323,553575945,3
533,2792,7438,4902,1465,6,6323,671011375,2
534,2792,4491,2172,1014,6,6323,671708120,2
535,1389,7438,4902,1465,2,6330,6512666,0
536,1389,7438,4902,1465,5,6330,330480774,3
537,1504,6029,3362,506,5,6366,802130119,2
538,1504,4003,4758,720,10,6366,1853262390,4
539,1620,5374,3931,1058,7,6394,1566840287,1
540,657,6393,1908,304,4,6398,609610597,2
541,657,1244,823,837,6,6398,786888083,2
542,1488,7266,3389,768,6,6411,2147483647,4
543,2837,7269,3898,1295,4,6431,971880107,2
544,1964,7266,3389,768,7,6445,2147483647,4
545,2680,1245,4158,333,8,6472,440241413,3
546,2561,1939,4193,1398,8,6505,446605581,3
547,537,7438,4902,1465,6,6516,1858913292,4
548,1813,1596,2696,915,6,6537,345407083,3
549,1813,3346,40,1184,7,6537,671785141,2
550,2476,4399,4444,961,7,6543,14025644,0
551,2476,7438,4902,1465,7,6543,60093595,0
552,2476,2819,2477,1423,7,6543,60503467,0
553,2476,5745,844,554,6,6543,61099015,0
554,2476,7438,4902,1465,10,6543,312282621,3
555,2476,1891,3809,327,8,6543,345342968,3
556,2476,122,2131,125,7,6543,345443128,3
557,2476,7438,4902,1465,8,6543,380978415,3
558,2476,1742,2399,62,7,6543,385488181,3
559,2476,784,4209,1064,7,6543,399150854,3
560,2476,6451,4387,874,10,6543,451179285,3
561,2476,2041,906,128,8,6543,553274503,3
562,2476,5228,4688,790,10,6543,618012710,2
563,2476,3995,2128,506,6,6543,802135161,2
564,2476,5882,3988,1426,6,6543,879804211,2
565,406,1152,3610,554,6,6563,60193751,0
566,406,1169,4314,125,9,6563,345450698,3
567,406,6922,2994,360,10,6563,385484518,3
568,406,3932,1085,1398,9,6563,446610674,3
569,406,7438,4902,1465,8,6563,1402511787,1
570,406,7438,4902,1465,5,6563,1558746226,1
571,1416,1348,4146,19,4,6564,441132448,3
572,1416,4671,328,128,10,6564,553212427,3
573,1416,7438,4902,1465,5,6564,575046910,3
574,1416,1149,615,381,8,6564,671037285,2
575,614,7438,4902,1465,9,6577,67976402,0
576,2384,7438,4902,1465,5,6582,316777722,3
577,2628,1684,1997,132,9,6604,553213806,3
578,1614,7266,3389,768,9,6606,2147483647,4
579,1894,7438,4902,1465,10,6611,802151078,2
580,1894,5319,1946,31,10,6611,812504321,2
581,1894,5083,92,1406,10,6611,877283478,2
